ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
FLRY3;21,94;2,62;2,52;17,45;78,8;0,057;89,0;0,3;2,58;70,0;0,5;18.9;2,39;-;12.6%;15;EVITAR;-70;EVITAR;['⚠️ Movimento extremo já realizado — risco de perseguir preço'];alta;False;1174800;False
YDUQ3;10,97;3,49;10,58;39,39;78,9;0,108;98,5;0,23;3,78;56,3;39,4;26.1;0,96;-;3.8%;15;EVITAR;-55;EVITAR;['Volatilidade alta (ATR 3.8%)', '⚠️ Movimento extremo já realizado — risco de perseguir preço'];alta;False;1136700;False
MLAS3;1,93;3,21;4,32;6,63;60,3;-0,0;96,2;0,52;3,94;141,1;3,1;5.2;0,48;-;9.8%;15;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.9%)'];alta;False;1013400;False
LJQQ3;1,35;8,0;3,85;29,81;60,1;0,007;84,1;0,53;5,76;43,6;107,4;-;0,96;-;-50.6%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 5.8%)', 'Small Cap (potencial alto)'];baixa;True;943000;False
DASA3;3,15;10,92;11,31;22,09;65,6;0,04;123,2;0,96;5,92;146,1;51,4;-;0,58;-;-12.1%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 5.9%)', 'Small Cap (potencial alto)'];baixa;True;879200;False
AURE3;12,36;0,08;7,2;20,82;67,8;0,078;85,7;0,29;2,96;24,2;18,6;-;1,12;-;-7.7%;15;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;826200;False
RAPT4;5,0;1,42;-0,79;6,16;53,1;-0,003;58,4;0,29;3,7;19,6;40,4;-;0,58;-;-1.4%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.7%)', 'Small Cap (potencial alto)'];baixa;True;812100;False
OBTC3;7,47;6,87;4,04;0,27;57,8;-0,016;77,4;0,28;6,73;30,8;52,3;-;2,09;-;-;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 6.7%)', 'Small Cap (potencial alto)'];baixa;True;619100;False
ENGI11;52,35;0,52;1,95;16,96;68,7;0,178;76,1;0,17;2,54;25,6;11,9;37.9;1,03;-;9.4%;15;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;591700;False
CAML3;5,13;5,34;-2,1;6,02;56,2;-0,015;64,7;0,67;3,81;27,0;40,3;17.1;0,59;-;3.4%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.8%)', 'Small Cap (potencial alto)'];baixa;True;546200;False
RCSL4;0,36;2,86;-5,26;-48,57;35,4;-0,005;30,4;0,1;13,59;39,8;670,1;6.0;-3,08;-;-;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 13.6%)', 'Small Cap (potencial alto)'];baixa;True;522700;False
BMGB4;6,18;1,81;1,64;24,1;71,5;0,025;78,1;0,38;2,89;81,5;0,5;4.7;0,79;-;14.0%;15;EVITAR;-10;EVITAR;['Small Cap (potencial alto)'];baixa;True;503500;False
AUAU3;4,21;0,24;4,21;30,75;70,3;0,031;79,9;0,1;3,92;50,6;2,6;-;1,13;-;9.1%;15;EVITAR;5;EVITAR;['Volatilidade alta (ATR 3.9%)', 'Small Cap (potencial alto)'];baixa;True;441600;False
JSLG3;6,31;4,47;4,13;20,42;66,2;0,038;90,5;0,49;4,21;63,0;39,8;-;1,52;-;-7.0%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.2%)', 'Small Cap (potencial alto)'];baixa;True;421400;False
DXCO3;5,7;1,42;4,4;14,23;64,6;0,008;81,4;0,23;3,13;28,7;9,1;-;0,75;-;0.7%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Small Cap (potencial alto)'];baixa;True;414200;False
IRBR3;64,1;3,39;3,5;28,2;73,7;0,29;87,5;0,51;2,78;43,9;1,0;21.8;0,98;-;4.6%;15;EVITAR;-10;EVITAR;['Small Cap (potencial alto)'];baixa;True;411000;False
ARML3;4,29;5,41;15,95;30,0;70,0;0,028;112,5;0,4;5,15;62,8;46,9;23.8;1,08;-;6.3%;15;EVITAR;5;EVITAR;['Volatilidade alta (ATR 5.2%)', 'Small Cap (potencial alto)'];baixa;True;406800;False
AZEV4;1,29;3,2;-7,19;-25,43;42,3;-0,017;22,9;0,08;13,43;12,2;675,2;-;0,35;-;-111.2%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 13.4%)', 'Small Cap (potencial alto)'];baixa;True;359600;False
AMER3;4,9;3,38;-1,8;5,15;51,8;-0,065;37,2;0,21;5,76;45,4;61,0;3.2;0,24;-;-;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 5.8%)', 'Small Cap (potencial alto)'];baixa;True;297600;False
BRSR6;15,02;1,01;0,27;14,07;63,8;0,029;71,1;0,08;2,46;43,3;22,2;3.7;0,52;-;14.5%;15;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;235300;False
SLCE3;17,66;-0,11;1,79;11,14;64,5;-0,023;70,6;0,07;3,04;40,4;10,3;28.5;1,62;-;7.0%;15;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.0%)', 'Small Cap (potencial alto)'];baixa;True;229700;False
