ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
CXSE3;19,21;0,37;6,43;-3,81;51,8;0,099;63,9;0,67;2,36;51,2;15,3;12.7;4,18;-;33.3%;10;EVITAR;0;EVITAR;[];alta;False;4481200
KLBN4;3,71;0,0;5,1;3,06;65,4;0,017;84,8;0,63;2,04;15,7;13,5;123.7;0,5;-;3.7%;10;EVITAR;0;EVITAR;[];alta;False;2055400
AUAU3;3,28;-1,5;0,92;-2,09;49,0;-0,013;36,8;0,43;4,31;17,4;23,0;-;0,9;-;9.1%;10;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.3%)'];alta;False;1973900
RECV3;10,37;-2,08;-0,48;3,78;52,9;0,029;63,6;1,02;3,24;16,7;33,0;6.1;0,69;-;11.3%;10;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.2%)'];alta;False;1845900
SAPR11;33,26;-1,16;3,74;-6,05;43,3;0,198;45,1;1,21;3,03;6,8;46,5;41.1;0,83;-;3.8%;10;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.0%)'];alta;False;1670300
BRAP4;21,95;0,27;8,61;1,34;59,3;0,153;78,4;0,64;2,59;54,4;16,8;15.7;1,13;-;7.0%;10;EVITAR;0;EVITAR;[];alta;False;1133500
CPFE3;44,55;0,7;5,34;-0,54;53,9;0,161;59,3;0,68;2,64;28,5;18,9;8.6;2,26;-;27.3%;10;EVITAR;0;EVITAR;[];alta;False;1034900
AMAR3;0,74;13,85;60,87;25,42;70,6;0,025;115,1;2,3;7,59;64,4;85,1;-;6,22;-;-130.6%;10;EVITAR;20;NEUTRO;['Volatilidade alta (ATR 7.6%)', 'Volume alto (2.3x)', 'Small Cap (potencial alto)'];baixa;True;969200
MTRE3;3,24;3,51;12,11;16,45;72,2;0,048;131,4;1,14;3,15;16,4;26,7;5.2;0,33;-;9.4%;10;EVITAR;5;EVITAR;['Volatilidade alta (ATR 3.1%)', 'Small Cap (potencial alto)'];baixa;True;715600
FIQE3;4,64;-0,22;3,57;-13,43;37,3;-0,01;29,7;0,44;4,07;42,5;64,9;7.6;1,62;-;18.1%;10;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.1%)', 'Small Cap (potencial alto)'];baixa;True;535800
CYRE4;22,85;-3,67;9,8;17,91;62,2;0,312;94,4;0,62;3,98;26,0;33,9;-;0,89;-;20.6%;10;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.0%)', 'Small Cap (potencial alto)'];baixa;True;349500
B3SA3;15,75;0,0;9,22;2,81;60,0;0,126;81,3;0,77;3,18;35,7;27,2;15.8;4,21;-;27.7%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.2%)'];alta;False;26836300
CPLE3;14,65;0,0;6,01;0,83;56,0;0,084;67,1;0,79;2,37;43,8;15,2;13.7;1,93;-;12.8%;5;EVITAR;0;EVITAR;[];alta;False;13285500
ENEV3;26,38;-1,16;5,1;1,97;57,4;0,173;69,2;1,25;2,83;78,4;6,6;52.8;2,48;-;7.1%;5;EVITAR;0;EVITAR;[];alta;False;13139300
USIM5;7,13;2,3;15,37;-14,3;48,7;0,116;62,9;0,93;4,84;73,1;70,8;-;0,42;-;-8.1%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.8%)'];alta;False;10598400
AZEV4;1,77;14,19;34,09;18,0;53,5;0,014;51,3;1,09;16,33;53,9;566,7;-;0,47;-;-111.2%;5;EVITAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 16.3%)'];alta;False;7828200
ECOR3;6,95;0,0;13,93;0,87;56,5;0,111;73,1;0,77;4,01;19,0;71,7;8.8;1,18;-;12.3%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;4287200
AURE3;10,85;1,31;7,43;-2,34;52,2;0,076;64,7;1,15;3,02;9,0;35,1;-;0,98;-;-7.7%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.0%)'];alta;False;4081100
CSMG3;55,1;-0,72;0,66;-10,87;37,3;-0,317;29,0;0,84;3,28;109,1;23,1;16.2;2,36;-;15.0%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;3687100
ALOS3;26,43;-0,49;4,13;0,56;52,6;0,088;58,5;0,8;2,32;30,8;22,7;14.0;1,03;-;7.6%;5;EVITAR;0;EVITAR;[];alta;False;3297900
SAUD3;14,0;0,72;0,57;-6,73;45,4;-0,006;41,7;0,63;2,97;35,5;17,7;12.4;2,19;-;10.5%;5;EVITAR;0;EVITAR;[];alta;False;3278100
PMAM3;0,14;7,69;-12,5;-50,0;38,4;0,002;34,1;0,33;23,4;55,6;1185,7;-;-0,0;-;-;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 23.4%)'];alta;False;3099500
LIGT3;3,34;0,0;8,44;4,37;59,7;0,02;93,4;0,98;5,5;38,6;94,3;2.2;0,13;-;32.4%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.5%)'];alta;False;2990500
ISAE4;26,75;1,1;4,78;1,75;53,9;0,166;79,5;0,81;2,35;27,5;19,8;6.2;0,8;-;13.2%;5;EVITAR;0;EVITAR;[];alta;False;2344500
SIMH3;6,46;-1,52;8,57;-14,32;44,2;0,046;43,3;0,83;5,18;15,6;126,2;-;0,65;-;-0.2%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.2%)'];alta;False;2169600
LWSA3;4,17;-1,18;8,31;13,35;62,6;0,051;92,6;0,59;3,77;28,6;13,9;-;0,93;-;-7.8%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.8%)'];alta;False;2143800
TTEN3;11,16;-2,62;4,89;-9,27;41,2;0,179;50,1;0,71;4,59;16,1;60,4;-;1,12;-;12.1%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;1705500
SBFG3;8,31;-2,35;0,85;-10,84;37,6;-0,004;26,7;0,65;4,03;5,1;83,9;4.6;0,56;-;13.7%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;1475600
RAPT4;4,76;-1,04;1,93;-2,26;49,8;-0,001;43,7;0,64;3,55;13,9;47,5;-;0,53;-;-1.4%;5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.5%)'];alta;False;1340000
IRBR3;53,4;0,87;7,36;0,15;55,2;0,307;67,7;1,68;3,12;20,1;21,2;18.2;0,82;-;4.6%;5;EVITAR;30;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Volume alto (1.7x)'];alta;False;1061400
ENJU3;0,75;-2,6;-6,25;11,94;44,9;-0,001;34,1;0,94;7,05;19,0;42,6;-;0,74;-;-16.9%;5;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 7.1%)', 'Small Cap (potencial alto)'];baixa;True;956900
SOJA3;6,7;-2,76;6,01;25,23;64,7;0,179;91,1;0,68;4,45;35,9;56,1;23.1;0,71;-;4.6%;5;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 4.4%)', 'Small Cap (potencial alto)'];baixa;True;543800
ALLD3;5,2;0,39;2,16;17,12;62,2;0,037;76,3;1,03;3,5;17,6;58,3;1.4;0,32;-;23.6%;5;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.5%)', 'Small Cap (potencial alto)'];baixa;True;454500
SEQL3;0,06;-14,29;0,0;-14,29;44,0;0,0;22,4;0,37;17,67;20,0;27400,8;-;-1,46;-;-;5;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 17.7%)', 'Small Cap (potencial alto)'];baixa;True;270600
RAIL3;14,59;0,41;6,11;4,59;62,5;0,12;89,0;1,49;3,27;20,0;18,8;22.1;1,87;-;8.8%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;19698700
CSNA3;5,27;3,74;18,96;1,35;60,1;0,103;103,7;1,07;5,54;25,8;114,8;-;0,57;-;-12.3%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.5%)'];alta;False;17739100
MRVE3;5,51;0,92;12,91;20,04;69,1;0,119;105,1;1,24;4,67;31,2;91,1;-;0,68;-;-10.0%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.7%)'];alta;False;15570000
VALE3;78,45;-0,32;8,76;7,46;67,2;0,777;105,0;0,68;2,39;55,2;13,6;30.4;1,7;-;4.1%;0;EVITAR;0;EVITAR;[];alta;False;13673700
AMBP3;0,17;0,0;13,33;6,25;59,9;0,003;93,8;1,08;8,47;21,4;8311,8;-;0,26;-;-1.3%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 8.5%)'];alta;False;4822500
MBRF3;18,56;1,37;7,22;11,4;61,4;0,228;83,6;0,71;4,72;28,1;49,0;66.3;2,28;-;0.9%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.7%)'];alta;False;4556800
NATU3;8,94;2,05;17,48;8,1;65,5;0,117;102,3;0,72;3,73;25,4;24,7;-;0,98;-;-2.5%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.7%)'];alta;False;3801300
YDUQ3;8,62;-1,37;16,33;5,9;59,9;0,163;83,4;0,85;4,75;22,8;77,4;20.5;0,75;-;3.8%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.7%)'];alta;False;3782300
QUAL3;1,64;-2,96;1,23;13,1;52,8;0,011;67,4;0,88;5,3;19,7;71,1;23.4;0,36;-;2.1%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.3%)'];alta;False;2367000
AMER3;4,8;0,0;17,94;7,87;64,3;0,085;80,8;1,46;6,01;42,4;83,7;3.1;0,23;-;-;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 6.0%)'];alta;False;2217700
JHSF3;10,4;0,1;3,79;-1,09;47,4;-0,008;40,9;0,63;3,56;106,5;36,1;3.4;0,92;-;29.3%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.6%)'];alta;False;2139800
IGTI11;24,5;0,7;6,29;0,2;52,6;0,079;61,5;0,8;2,78;14,4;24,2;150.3;1,47;-;13.5%;0;EVITAR;0;EVITAR;[];alta;False;1857600
ORVR3;16,42;-0,06;4,72;-4,12;42,7;0,094;45,4;0,64;2,9;25,3;29,3;96.6;1,08;-;2.4%;0;EVITAR;0;EVITAR;[];alta;False;1650100
MDNE3;24,6;0,24;6,17;3,54;51,2;0,185;65,8;1,19;3,7;21,0;39,3;4.2;1,2;-;28.0%;0;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.7%)'];alta;False;1193200
PINE4;10,71;-1,74;6,04;-15,0;41,4;-0,023;35,9;0,9;5,41;81,8;47,7;4.4;1,51;-;40.8%;0;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 5.4%)', 'Small Cap (potencial alto)'];baixa;True;957900
JALL3;2,56;5,35;15,32;28,64;71,4;0,066;100,9;0,86;4,36;36,2;48,2;-;0,38;-;-2.6%;0;EVITAR;5;EVITAR;['Volatilidade alta (ATR 4.4%)', 'Small Cap (potencial alto)'];baixa;True;956200
ARML3;3,7;0,0;16,35;13,15;63,9;0,055;88,1;0,75;5,77;40,4;70,3;20.6;0,93;-;6.3%;0;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 5.8%)', 'Small Cap (potencial alto)'];baixa;True;939300
